school,district,ncesid,title_1_school_status,lat,long,total_enroll,bipoc_enroll,bipoc_pct,white_enroll
MINNEWASKA EARLY CHILDHOOD SP.ED.,MINNEWASKA SCHOOL DISTRICT,2700019,2-Title I targeted assistance school,45.646144,-95.383719,44,3,0.06818181818181818,41
MINNEWASKA SECONDARY,MINNEWASKA SCHOOL DISTRICT,2700019,2-Title I targeted assistance school,45.624899,-95.455288,370,38,0.10270270270270271,332
MISSISSIPPI CREATIVE ARTS ELEM,ST. PAUL PUBLIC SCHOOL DISTRICT,2733840,5-Title I schoolwide school,44.988796,-93.090884,571,520,0.9106830122591943,51
MISSISSIPPI ELEMENTARY,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,2703180,5-Title I schoolwide school,45.1652,-93.3407,395,167,0.42278481012658226,228
MISSISSIPPI HEIGHTS ELEMENTARY,SAUK RAPIDS-RICE PUBLIC SCHOOLS,2732880,5-Title I schoolwide school,45.5888,-94.1496,967,138,0.14270941054808686,829
MMSA ELEMENTARY SCHOOL,Minnesota Math and Science Academy,2700399,5-Title I schoolwide school,44.971547,-93.093394,208,208,1,0
MMSA HIGH SCHOOL,Minnesota Math and Science Academy,2700399,5-Title I schoolwide school,44.971547,-93.093394,88,87,0.9886363636363636,1
MMSA MIDDLE SCHOOL,Minnesota Math and Science Academy,2700399,5-Title I schoolwide school,44.971547,-93.093394,189,186,0.9841269841269841,3
MN ACADEMY FOR THE BLIND,MINNESOTA STATE ACADEMIES,2700129,6-Not a Title I school,44.286,-93.2591,53,11,0.20754716981132076,42
MN ACADEMY FOR THE DEAF,MINNESOTA STATE ACADEMIES,2700129,6-Not a Title I school,44.2974,-93.2596,97,30,0.30927835051546393,67
MN INTERNATIONAL MIDDLE CHR SCHOOL,Twin Cities International Schools,2700189,5-Title I schoolwide school,44.9904,-93.2826,441,440,0.9977324263038548,1
MN RIVER VALLEY ALC-SEATBASED,MN RIVER VALLEY EDUCATION DISTRICT,2700058,6-Not a Title I school,44.9491,-95.7107,125,45,0.36,80
MODERN MONTESSORI CHARTER SCHOOL,Modern Montessori Charter School,2700456,6-Not a Title I school,45.188901,-93.400308,67,9,0.13432835820895522,58
MONROE ELEMENTARY,MANKATO PUBLIC SCHOOL DISTRICT,2718780,5-Title I schoolwide school,44.1752,-94.0124,501,108,0.2155688622754491,393
MONROE ELEMENTARY,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,2703180,5-Title I schoolwide school,45.0937,-93.2931,592,428,0.722972972972973,164
MONTESSORI AT FRANKLIN,ROCHESTER PUBLIC SCHOOL DISTRICT,2731800,5-Title I schoolwide school,43.994711,-92.450288,193,61,0.3160621761658031,132
MONTEVIDEO MIDDLE,MONTEVIDEO PUBLIC SCHOOL DISTRICT,2721320,2-Title I targeted assistance school,44.9394,-95.7026,443,133,0.3002257336343115,310
MONTEVIDEO SENIOR HIGH,MONTEVIDEO PUBLIC SCHOOL DISTRICT,2721320,2-Title I targeted assistance school,44.9391,-95.7078,503,107,0.21272365805168986,396
MONTGOMERY PRE K-8,TRI-CITY UNITED SCHOOL DISTRICT,2700379,2-Title I targeted assistance school,44.441,-93.5785,586,92,0.15699658703071673,494
MONTICELLO ALTERNATIVE PROGRAM,MONTICELLO PUBLIC SCHOOL DISTRICT,2721390,2-Title I targeted assistance school,45.299031,-93.792063,45,11,0.24444444444444444,34
MONTICELLO HIGH SCHOOL - SNW,Sherburne and Northern Wright Speci,2700413,6-Not a Title I school,45.286626,-93.777974,51,9,0.17647058823529413,42
MONTICELLO MIDDLE,MONTICELLO PUBLIC SCHOOL DISTRICT,2721390,2-Title I targeted assistance school,45.300291,-93.781897,1074,171,0.15921787709497207,903
MONTICELLO SENIOR HIGH,MONTICELLO PUBLIC SCHOOL DISTRICT,2721390,2-Title I targeted assistance school,45.286626,-93.777974,1203,173,0.14380714879467996,1030
MONTROSE ELEMENTARY SCHOOL OF INNOV,BUFFALO-HANOVER-MONTROSE PUBLIC SCH,2707200,2-Title I targeted assistance school,45.067972,-93.908721,360,64,0.17777777777777778,296
MOORHEAD HIGH SCHOOL,MOORHEAD PUBLIC SCHOOL DISTRICT,2721420,5-Title I schoolwide school,46.8723,-96.7439,1826,509,0.2787513691128149,1317
MOOSE LAKE ELEMENTARY,MOOSE LAKE PUBLIC SCHOOL DISTRICT,2721450,2-Title I targeted assistance school,46.429774,-92.760027,339,32,0.0943952802359882,307
MOOSE LAKE SECONDARY,MOOSE LAKE PUBLIC SCHOOL DISTRICT,2721450,2-Title I targeted assistance school,46.429774,-92.760027,285,14,0.04912280701754386,271
MORA ALTERNATIVE LEARNING CENTER,MORA PUBLIC SCHOOL DISTRICT,2721480,5-Title I schoolwide school,45.8787,-93.2921,66,4,0.06060606060606061,62
MORA ELEMENTARY SCHOOL,MORA PUBLIC SCHOOL DISTRICT,2721480,5-Title I schoolwide school,45.8873,-93.2951,863,72,0.08342989571263036,791
MORA SECONDARY,MORA PUBLIC SCHOOL DISTRICT,2721480,5-Title I schoolwide school,45.8783,-93.2929,722,60,0.08310249307479224,662
MORELAND ART/HEALTH SCIENCE MAGNET,WEST ST. PAUL-MENDOTA HTS.-EAGAN,2742270,5-Title I schoolwide school,44.90954,-93.094308,401,276,0.6882793017456359,125
MORRIS AREA ELEMENTARY,MORRIS AREA PUBLIC SCHOOLS,2700383,2-Title I targeted assistance school,45.5839,-95.9005,578,152,0.2629757785467128,426
MORRIS AREA SECONDARY,MORRIS AREA PUBLIC SCHOOLS,2700383,2-Title I targeted assistance school,45.5826,-95.9,512,79,0.154296875,433
MORRIS BYE ELEMENTARY,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,2703180,5-Title I schoolwide school,45.1876,-93.3368,483,222,0.45962732919254656,261
MORRISTOWN ELEMENTARY,WATERVILLE-ELYSIAN-MORRISTOWN,2700013,2-Title I targeted assistance school,44.2247,-93.443,141,24,0.1702127659574468,117
MOTLEY-STAPLES MIDDLE SCHOOL,STAPLES-MOTLEY SCHOOL DISTRICT,2733900,5-Title I schoolwide school,46.3586,-94.7967,304,33,0.10855263157894737,271
MOUND WESTONKA HIGH SCHOOL,WESTONKA PUBLIC SCHOOL DISTRICT,2722920,2-Title I targeted assistance school,44.9549,-93.672,1021,150,0.14691478942213515,871
MOUNDS VIEW ALC,MOUNDS VIEW PUBLIC SCHOOL DISTRICT,2722950,5-Title I schoolwide school,45.106045,-93.212111,87,49,0.5632183908045977,38
MOUNDS VIEW SENIOR HIGH,MOUNDS VIEW PUBLIC SCHOOL DISTRICT,2722950,5-Title I schoolwide school,45.0639,-93.1809,1799,540,0.30016675931072817,1259
