school,district,ncesid,title_1_school_status,lat,long,total_enroll,bipoc_enroll,bipoc_pct,white_enroll
112 ALC MIDDLE SCHOOL,EASTERN CARVER COUNTY PUBLIC SCHOOL,2708190,2-Title I targeted assistance school,44.8416,-93.5969,404,171,0.42326732673267325,233
6-12TH GRADE BUILDING,CLINTON-GRACEVILLE-BEARDSLEY,2700150,2-Title I targeted assistance school,45.5692,-96.4332,131,4,0.030534351145038167,127
916 MAHTOMEDI ACADEMY,NORTHEAST METRO 916,2702264,6-Not a Title I school,45.036838,-92.985475,82,42,0.5121951219512195,40
917 INTRA-DAKOTA EDUCATIONAL ALT,INTERMEDIATE SCHOOL DISTRICT 917,2700026,6-Not a Title I school,44.741403,-93.11454,46,29,0.6304347826086957,17
917 SUN,INTERMEDIATE SCHOOL DISTRICT 917,2700026,6-Not a Title I school,44.741403,-93.11454,140,66,0.4714285714285714,74
A. G. A. P. E. TEEN PARENT,ST. PAUL PUBLIC SCHOOL DISTRICT,2733840,5-Title I schoolwide school,44.95616,-93.143664,67,65,0.9701492537313433,2
A.C.G.C. ELEMENTARY,A.C.G.C. Public School District,2700106,5-Title I schoolwide school,45.1331,-94.7796,332,30,0.09036144578313253,302
A.C.G.C. SECONDARY,A.C.G.C. Public School District,2700106,5-Title I schoolwide school,45.1422,-94.6836,401,47,0.1172069825436409,354
A.I. JEDLICKA MIDDLE SCHOOL,PROCTOR PUBLIC SCHOOL DISTRICT,2730090,6-Not a Title I school,46.7438,-92.237,456,48,0.10526315789473684,408
ACADEMIA CESAR CHAVEZ CHTR SCHOOL,ACADEMIA CESAR CHAVEZ CHARTER SCH.,2700185,5-Title I schoolwide school,44.97165,-93.024021,568,547,0.9630281690140845,21
ACADEMIC ARTS HIGH SCHOOL,ACADEMIC ARTS HIGH SCHOOL,2700361,5-Title I schoolwide school,44.8904,-93.0824,90,40,0.4444444444444444,50
ACGC ELEMENTARY GRADES 5 AND 6,A.C.G.C. Public School District,2700106,5-Title I schoolwide school,45.1429,-94.6836,132,15,0.11363636363636363,117
ACHIEVE LANGUAGE ACADEMY,ACHIEVE LANGUAGE ACADEMY,2700118,5-Title I schoolwide school,44.9697,-93.0091,462,418,0.9047619047619048,44
ADA ELEMENTARY,ADA-BORUP PUBLIC SCHOOL DISTRICT,2700126,2-Title I targeted assistance school,47.2973,-96.5271,274,51,0.18613138686131386,223
ADA-BORUP SECONDARY,ADA-BORUP PUBLIC SCHOOL DISTRICT,2700126,2-Title I targeted assistance school,47.2976,-96.5312,399,89,0.22305764411027568,310
ADAMS ELEMENTARY,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,2703180,5-Title I schoolwide school,45.1335,-93.2909,521,290,0.5566218809980806,231
ADAMS ELEMENTARY,FERGUS FALLS PUBLIC SCHOOL DISTRICT,2711880,2-Title I targeted assistance school,46.2747,-96.0782,296,52,0.17567567567567569,244
ADAMS MAGNET ELEMENTARY,ST. PAUL PUBLIC SCHOOL DISTRICT,2733840,5-Title I schoolwide school,44.923737,-93.142043,544,378,0.6948529411764706,166
ADRIAN ELEMENTARY,ADRIAN PUBLIC SCHOOL DISTRICT,2702730,5-Title I schoolwide school,43.6314,-95.9314,262,46,0.17557251908396945,216
ADRIAN MIDDLE,ADRIAN PUBLIC SCHOOL DISTRICT,2702730,5-Title I schoolwide school,43.6332,-95.9367,117,21,0.1794871794871795,96
ADRIAN SECONDARY,ADRIAN PUBLIC SCHOOL DISTRICT,2702730,5-Title I schoolwide school,43.6325,-95.9367,189,45,0.23809523809523808,144
AFSA HIGH SCHOOL,AFSA HIGH SCHOOL,2700186,2-Title I targeted assistance school,45.0463,-93.0959,221,52,0.23529411764705882,169
AFSA K-8,AFSA HIGH SCHOOL,2700186,2-Title I targeted assistance school,45.028856,-93.091145,234,93,0.3974358974358974,141
AFTON-LAKELAND ELEMENTARY,STILLWATER AREA PUBLIC SCHOOL DIST.,2738190,2-Title I targeted assistance school,44.9422,-92.7698,478,69,0.14435146443514643,409
AGAMIM CLASSICAL ACADEMY,Agamim Classical Academy,2700394,2-Title I targeted assistance school,44.906982,-93.329488,326,176,0.5398773006134969,150
AGES 3-5 EARLY CHILDHOOD SPECIAL ED,SOUTH WASHINGTON COUNTY SCHOOL DIST,2733810,2-Title I targeted assistance school,44.818392,-92.935878,548,197,0.3594890510948905,351
AITKIN SECONDARY SCHOOL,AITKIN PUBLIC SCHOOL DISTRICT,2702760,5-Title I schoolwide school,46.5339,-93.7113,572,42,0.07342657342657342,530
AKIN ROAD ELEMENTARY,FARMINGTON PUBLIC SCHOOL DISTRICT,2711820,2-Title I targeted assistance school,44.668,-93.1723,600,146,0.24333333333333335,454
ALBANY AREA HIGH SCHOOL,ALBANY PUBLIC SCHOOL DISTRICT,2702930,2-Title I targeted assistance school,45.6318,-94.5603,518,27,0.052123552123552123,491
ALBANY AREA MIDDLE SCHOOL,ALBANY PUBLIC SCHOOL DISTRICT,2702930,2-Title I targeted assistance school,45.6315,-94.561,432,34,0.0787037037037037,398
ALBANY ELEMENTARY,ALBANY PUBLIC SCHOOL DISTRICT,2702930,2-Title I targeted assistance school,45.6316,-94.5567,530,35,0.0660377358490566,495
ALBERT LEA AREA LEARNING CENTER,ALBERT LEA PUBLIC SCHOOL DISTRICT,2702970,5-Title I schoolwide school,43.677422,-93.35338,112,49,0.4375,63
ALBERT LEA SENIOR HIGH,ALBERT LEA PUBLIC SCHOOL DISTRICT,2702970,5-Title I schoolwide school,43.6742,-93.3506,1238,440,0.3554119547657512,798
ALBERTVILLE PRIMARY,ST. MICHAEL-ALBERTVILLE SCHOOL DIST,2733790,2-Title I targeted assistance school,45.2299,-93.653,485,72,0.14845360824742268,413
ALC GATEWAY TO COLLEGE,ST. PAUL PUBLIC SCHOOL DISTRICT,2733840,5-Title I schoolwide school,44.948956,-93.110026,169,138,0.8165680473372781,31
ALC SENIOR HIGH,OSSEO PUBLIC SCHOOL DISTRICT,2725200,5-Title I schoolwide school,45.087995,-93.390784,163,128,0.7852760736196319,35
ALDEN-CONGER ELEMENTARY,ALDEN-CONGER PUBLIC SCHOOL DISTRICT,2703030,2-Title I targeted assistance school,43.6731,-93.574,250,14,0.056,236
ALDEN-CONGER SECONDARY,ALDEN-CONGER PUBLIC SCHOOL DISTRICT,2703030,2-Title I targeted assistance school,43.6725,-93.5743,228,13,0.05701754385964912,215
ALEXANDER LEARNING ACADEMY,Cannon Valley Special Education Coo,2700424,6-Not a Title I school,44.29176,-93.281641,47,12,0.2553191489361702,35
ALEXANDRIA AREA HIGH SCHOOL,ALEXANDRIA PUBLIC SCHOOL DISTRICT,2703060,5-Title I schoolwide school,45.84946,-95.361691,1315,112,0.08517110266159696,1203
ALICE SMITH ELEMENTARY,HOPKINS PUBLIC SCHOOL DISTRICT,2714260,5-Title I schoolwide school,44.932244,-93.41032,512,313,0.611328125,199
AMERICAN INDIAN MAGNET SCHOOL,ST. PAUL PUBLIC SCHOOL DISTRICT,2733840,5-Title I schoolwide school,44.957222,-93.055005,638,599,0.9388714733542319,39
ANDERSEN COMMUNITY,Minneapolis Public School District,2721240,5-Title I schoolwide school,44.953311,-93.258819,789,739,0.9366286438529785,50
ANDERSEN ELEMENTARY,STILLWATER AREA PUBLIC SCHOOL DIST.,2738190,2-Title I targeted assistance school,45.0191,-92.7806,362,46,0.1270718232044199,316
ANDOVER ELEMENTARY,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,2703180,5-Title I schoolwide school,45.2424,-93.3088,1235,216,0.1748987854251012,1019
ANDOVER HIGH SCHOOL,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,2703180,5-Title I schoolwide school,45.2392,-93.319,1693,271,0.1600708800945068,1422
ANISHINABE ACADEMY,Minneapolis Public School District,2721240,5-Title I schoolwide school,44.952574,-93.225694,243,236,0.9711934156378601,7
ANNANDALE ELEMENTARY SCHOOL,ANNANDALE PUBLIC SCHOOL DISTRICT,2703150,2-Title I targeted assistance school,45.2677,-94.1153,947,75,0.0791974656810982,872
ANNANDALE MIDDLE SCHOOL,ANNANDALE PUBLIC SCHOOL DISTRICT,2703150,2-Title I targeted assistance school,45.2639,-94.1218,510,41,0.0803921568627451,469
ANNANDALE SENIOR HIGH,ANNANDALE PUBLIC SCHOOL DISTRICT,2703150,2-Title I targeted assistance school,45.266522,-94.108732,555,37,0.06666666666666667,518
ANOKA HIGH SCHOOL,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,2703180,5-Title I schoolwide school,45.2247,-93.3834,2272,570,0.25088028169014087,1702
ANOKA MIDDLE SCHOOL FOR THE ARTS,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,2703180,5-Title I schoolwide school,45.1926,-93.3847,1797,567,0.31552587646076796,1230
ANOKA-HENNEPIN REGIONAL HIGH SCHOOL,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,2703180,5-Title I schoolwide school,45.1529,-93.2995,108,46,0.42592592592592593,62
ANOKA-HENNEPIN REGN NIGHT SCHOOL,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,2703180,5-Title I schoolwide school,45.1528,-93.2994,41,21,0.5121951219512195,20
ANOKA-HENNEPIN TECH HIGH SCHOOL,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,2703180,5-Title I schoolwide school,45.216693,-93.417309,90,40,0.4444444444444444,50
ANTHONY MIDDLE SCHOOL,Minneapolis Public School District,2721240,5-Title I schoolwide school,44.898513,-93.298882,738,327,0.44308943089430897,411
ANWATIN MIDDLE COM & SPANISH D I,Minneapolis Public School District,2721240,5-Title I schoolwide school,44.972619,-93.316827,571,471,0.8248686514886164,100
APOLLO SENIOR HIGH,ST. CLOUD PUBLIC SCHOOL DISTRICT,2733510,5-Title I schoolwide school,45.5701,-94.2106,1380,802,0.5811594202898551,578
APPLE VALLEY SENIOR HIGH,ROSEMOUNT-APPLE VALLEY-EAGAN,2732390,5-Title I schoolwide school,44.7427,-93.2306,1682,872,0.5184304399524375,810
APPLETON ELEMENTARY,LAC QUI PARLE VALLEY SCHOOL DIST.,2700125,2-Title I targeted assistance school,45.1965,-96.0132,213,90,0.4225352112676056,123
AQUILA ELEMENTARY,ST. LOUIS PARK PUBLIC SCHOOL DIST.,2733780,2-Title I targeted assistance school,44.9477,-93.3869,545,298,0.5467889908256881,247
ARCADIA CHARTER SCHOOL,ARCADIA CHARTER SCHOOL,2700355,6-Not a Title I school,44.4396,-93.185,109,10,0.09174311926605505,99
ARGYLE ELEMENTARY,STEPHEN-ARGYLE CENTRAL SCHOOLS,2700127,2-Title I targeted assistance school,48.3325,-96.8244,154,16,0.1038961038961039,138
ARMATAGE ELEMENTARY,Minneapolis Public School District,2721240,5-Title I schoolwide school,44.900839,-93.311231,599,192,0.32053422370617696,407
ARMSTRONG ELEMENTARY,SOUTH WASHINGTON COUNTY SCHOOL DIST,2733810,2-Title I targeted assistance school,44.821342,-92.93306,329,123,0.3738601823708207,206
ARMSTRONG SCHOOL,ST. JAMES PUBLIC SCHOOL DISTRICT,2733600,5-Title I schoolwide school,43.979049,-94.627666,65,32,0.49230769230769234,33
ART & SCIENCE ACADEMY MIDDLE SCHOOL,Art and Science Academy,2700397,2-Title I targeted assistance school,45.504397,-93.232186,185,19,0.10270270270270271,166
ART AND SCIENCE ACADEMY,Art and Science Academy,2700397,2-Title I targeted assistance school,45.5029,-93.2341,200,14,0.07,186
ASHBY ELEMENTARY,ASHBY PUBLIC SCHOOL DISTRICT,2703300,2-Title I targeted assistance school,46.0919,-95.8213,175,4,0.022857142857142857,171
ASHBY SECONDARY,ASHBY PUBLIC SCHOOL DISTRICT,2703300,2-Title I targeted assistance school,46.0926,-95.8212,129,3,0.023255813953488372,126
ASPEN ACADEMY,ASPEN ACADEMY,2700311,2-Title I targeted assistance school,44.734712,-93.384713,594,194,0.3265993265993266,400
ATHENEUM ELEMENTARY,INVER GROVE HEIGHTS SCHOOLS,2715030,5-Title I schoolwide school,44.864,-93.0694,118,41,0.3474576271186441,77
ATHLOS ACADEMY OF SAINT CLOUD,Athlos Academy of Saint Cloud,2700430,5-Title I schoolwide school,45.516565,-94.203727,649,459,0.7072419106317411,190
ATHLOS LEADERSHIP ACADEMY,Athlos Leadership Academy,2700096,5-Title I schoolwide school,45.138473,-93.336113,906,778,0.8587196467991169,128
AUGSBURG FAIRVIEW ACADEMY,AUGSBURG FAIRVIEW ACADEMY,2700350,2-Title I targeted assistance school,44.957072,-93.264146,89,82,0.9213483146067416,7
AURORA CHARTER SCHOOL,AURORA CHARTER SCHOOL,2700220,5-Title I schoolwide school,44.9563,-93.2404,227,227,1,0
AURORA MIDDLE SCHOOL,AURORA CHARTER SCHOOL,2700220,5-Title I schoolwide school,44.95484,-93.241051,190,190,1,0
AURORA WAASAKONE COMMUNITY OF LEARN,Aurora Waasakone Community of Learn,2700455,5-Title I schoolwide school,47.47423,-94.883883,74,33,0.44594594594594594,41
AUSTIN AREA LEARNING CENTER,AUSTIN PUBLIC SCHOOL DISTRICT,2703450,5-Title I schoolwide school,43.669,-92.9792,205,124,0.6048780487804878,81
AUSTIN COMMUNITY LEARNING CENTER,AUSTIN PUBLIC SCHOOL DISTRICT,2703450,5-Title I schoolwide school,43.6674,-92.9631,73,46,0.6301369863013698,27
AUSTIN SENIOR HIGH,AUSTIN PUBLIC SCHOOL DISTRICT,2703450,5-Title I schoolwide school,43.6682,-92.9791,1299,591,0.45496535796766746,708
AVALON MIDDLE SCHOOL,AVALON SCHOOL,2700187,6-Not a Title I school,44.962153,-93.198456,73,21,0.2876712328767123,52
AVALON SCHOOL,AVALON SCHOOL,2700187,6-Not a Title I school,44.962153,-93.198456,179,57,0.31843575418994413,122
AVON ELEMENTARY,ALBANY PUBLIC SCHOOL DISTRICT,2702930,2-Title I targeted assistance school,45.6146,-94.4478,315,9,0.02857142857142857,306
BABBITT ELEMENTARY,ST. LOUIS COUNTY SCHOOL DISTRICT,2700008,2-Title I targeted assistance school,47.7077,-91.9394,107,15,0.14018691588785046,92
BADGER ELEMENTARY,BADGER PUBLIC SCHOOL DISTRICT,2703540,2-Title I targeted assistance school,48.7811,-96.016,115,10,0.08695652173913043,105
BADGER SECONDARY,BADGER PUBLIC SCHOOL DISTRICT,2703540,2-Title I targeted assistance school,48.7808,-96.0157,118,8,0.06779661016949153,110
BAGLEY ELEMENTARY,BAGLEY PUBLIC SCHOOL DISTRICT,2703570,5-Title I schoolwide school,47.5238,-95.4013,577,151,0.2616984402079723,426
BAGLEY SECONDARY,BAGLEY PUBLIC SCHOOL DISTRICT,2703570,5-Title I schoolwide school,47.5343,-95.3969,420,120,0.2857142857142857,300
BAMBER VALLEY ELEMENTARY,ROCHESTER PUBLIC SCHOOL DISTRICT,2731800,5-Title I schoolwide school,43.9918,-92.5004,857,331,0.3862310385064177,526
BANAADIR ACADEMY,Minnesota Transitions Charter Sch,2700117,5-Title I schoolwide school,44.990556,-93.291629,140,140,1,0
BANAADIR ELEMENTARY,Minnesota Transitions Charter Sch,2700117,5-Title I schoolwide school,45.006901,-93.266684,114,114,1,0
BANCROFT ELEMENTARY,Minneapolis Public School District,2721240,5-Title I schoolwide school,44.933831,-93.255809,520,402,0.7730769230769231,118
BANFIELD ELEMENTARY,AUSTIN PUBLIC SCHOOL DISTRICT,2703450,5-Title I schoolwide school,43.6653,-92.996,422,169,0.4004739336492891,253
BARNESVILLE ELEMENTARY,BARNESVILLE PUBLIC SCHOOL DIST.,2703660,2-Title I targeted assistance school,46.6505,-96.4134,485,36,0.07422680412371134,449
BARNESVILLE SECONDARY,BARNESVILLE PUBLIC SCHOOL DIST.,2703660,2-Title I targeted assistance school,46.651,-96.4162,400,21,0.0525,379
BARNUM ELEMENTARY,BARNUM PUBLIC SCHOOL DISTRICT,2703690,2-Title I targeted assistance school,46.505617,-92.69045,378,46,0.12169312169312169,332
BARNUM SECONDARY,BARNUM PUBLIC SCHOOL DISTRICT,2703690,2-Title I targeted assistance school,46.506655,-92.679445,349,34,0.09742120343839542,315
BARTON OPEN ELEMENTARY,Minneapolis Public School District,2721240,5-Title I schoolwide school,44.925493,-93.291563,703,360,0.5120910384068279,343
BASSWOOD ELEMENTARY,OSSEO PUBLIC SCHOOL DISTRICT,2725200,5-Title I schoolwide school,45.078304,-93.477899,1052,263,0.25,789
BATTLE CREEK ELEMENTARY SCHOOL,ST. PAUL PUBLIC SCHOOL DISTRICT,2733840,5-Title I schoolwide school,44.939281,-93.013765,473,435,0.919661733615222,38
BATTLE CREEK MIDDLE,ST. PAUL PUBLIC SCHOOL DISTRICT,2733840,5-Title I schoolwide school,44.945554,-93.011673,750,706,0.9413333333333334,44
BATTLE LAKE ELEMENTARY,BATTLE LAKE PUBLIC SCHOOL DISTRICT,2703750,2-Title I targeted assistance school,46.2837,-95.7217,227,29,0.1277533039647577,198
BATTLE LAKE SECONDARY,BATTLE LAKE PUBLIC SCHOOL DISTRICT,2703750,2-Title I targeted assistance school,46.2837,-95.7205,197,27,0.13705583756345177,170
BAXTER ELEMENTARY,BRAINERD PUBLIC SCHOOL DISTRICT,2706090,5-Title I schoolwide school,46.328738,-94.271356,467,34,0.0728051391862955,433
BAY VIEW ELEMENTARY,PROCTOR PUBLIC SCHOOL DISTRICT,2730090,6-Not a Title I school,46.7463,-92.2097,603,72,0.11940298507462686,531
BAYVIEW ELEMENTARY,WACONIA PUBLIC SCHOOL DISTRICT,2741460,2-Title I targeted assistance school,44.85081,-93.79419,577,71,0.12305025996533796,506
BDOTE LEARNING CENTER,Bdote Learning Center,2700396,5-Title I schoolwide school,44.950418,-93.224829,110,109,0.990909090909091,1
BEACON ACADEMY,BEACON ACADEMY,2700366,2-Title I targeted assistance school,45.019021,-93.371227,665,319,0.47969924812030074,346
BEACON ALP,BLOOMINGTON PUBLIC SCHOOL DISTRICT,2705790,5-Title I schoolwide school,44.8279,-93.2768,95,76,0.8,19
BEAR CAVE INTERMEDIATE SCHOOL,STEWARTVILLE PUBLIC SCHOOL DISTRICT,2738160,2-Title I targeted assistance school,43.864505,-92.504578,506,50,0.09881422924901186,456
BEAVER LAKE VOLUNTARY PRE-K,North St. Paul-Maplewood Oakdale,2723850,5-Title I schoolwide school,44.973258,-92.99445,77,41,0.5324675324675324,36
BECKER INTERMEDIATE ELEMENTARY,BECKER PUBLIC SCHOOL DISTRICT,2703870,2-Title I targeted assistance school,45.395362,-93.875487,643,44,0.06842923794712286,599
BECKER MIDDLE,BECKER PUBLIC SCHOOL DISTRICT,2703870,2-Title I targeted assistance school,45.399529,-93.875548,702,57,0.0811965811965812,645
BECKER PRIMARY,BECKER PUBLIC SCHOOL DISTRICT,2703870,2-Title I targeted assistance school,45.396746,-93.875774,698,46,0.0659025787965616,652
BECKER SENIOR HIGH,BECKER PUBLIC SCHOOL DISTRICT,2703870,2-Title I targeted assistance school,45.3991,-93.8726,893,71,0.07950727883538634,822
BEL AIR ELEMENTARY,MOUNDS VIEW PUBLIC SCHOOL DISTRICT,2722950,5-Title I schoolwide school,45.0579,-93.2107,739,284,0.38430311231393777,455
BELGRADE-BROOTEN-ELROSA ELEMENTARY,BELGRADE-BROOTEN-ELROSA SCHOOL DIST,2700105,2-Title I targeted assistance school,45.5022,-95.1301,328,36,0.10975609756097561,292
BELGRADE-BROOTEN-ELROSA SEC.,BELGRADE-BROOTEN-ELROSA SCHOOL DIST,2700105,2-Title I targeted assistance school,45.4469,-95.0031,312,27,0.08653846153846154,285
BELLAIRE EDUCATION CENTER,NORTHEAST METRO 916,2702264,6-Not a Title I school,45.0637,-92.9928,57,31,0.543859649122807,26
BELLE PLAINE JUNIOR HIGH,BELLE PLAINE PUBLIC SCHOOL DISTRICT,2704050,2-Title I targeted assistance school,44.620041,-93.771626,259,37,0.14285714285714285,222
BELLE PLAINE SENIOR HIGH,BELLE PLAINE PUBLIC SCHOOL DISTRICT,2704050,2-Title I targeted assistance school,44.620041,-93.771626,462,60,0.12987012987012986,402
BEMIDJI AREA LEARNING CENTER,BEMIDJI PUBLIC SCHOOL DISTRICT,2704440,5-Title I schoolwide school,47.463537,-94.870583,49,14,0.2857142857142857,35
BEMIDJI MIDDLE,BEMIDJI PUBLIC SCHOOL DISTRICT,2704440,5-Title I schoolwide school,47.4874,-94.9097,1163,391,0.33619948409286327,772
BEMIDJI SENIOR HIGH,BEMIDJI PUBLIC SCHOOL DISTRICT,2704440,5-Title I schoolwide school,47.4662,-94.9242,1432,312,0.21787709497206703,1120
BEMIDJI SENIOR LUMBERJACK ALC,BEMIDJI PUBLIC SCHOOL DISTRICT,2704440,5-Title I schoolwide school,47.4654,-94.9228,71,45,0.6338028169014085,26
BENJAMIN E MAYS MAGNET,ST. PAUL PUBLIC SCHOOL DISTRICT,2733840,5-Title I schoolwide school,44.950662,-93.122794,385,361,0.9376623376623376,24
BENSON SECONDARY,BENSON PUBLIC SCHOOL DISTRICT,2704470,2-Title I targeted assistance school,45.3201,-95.5979,341,44,0.12903225806451613,297
BENTON-STEARNS ED DISTRICT EC,Benton-Stearns Education District,2700071,6-Not a Title I school,45.615723,-94.212196,81,7,0.08641975308641975,74
BERT RANEY ELEMENTARY SCHOOL,YELLOW MEDICINE EAST,2700099,5-Title I schoolwide school,44.8116,-95.5462,294,96,0.32653061224489793,198
BERTHA ELEMENTARY,BERTHA-HEWITT PUBLIC SCHOOL DIST.,2705430,5-Title I schoolwide school,46.2627,-95.0616,278,23,0.08273381294964029,255
BERTHA SECONDARY,BERTHA-HEWITT PUBLIC SCHOOL DIST.,2705430,5-Title I schoolwide school,46.2639,-95.0621,229,15,0.06550218340611354,214
BEST ACADEMY,BEST ACADEMY,2700309,2-Title I targeted assistance school,44.98488,-93.297661,731,730,0.9986320109439124,1
BETHUNE ELEMENTARY,Minneapolis Public School District,2721240,5-Title I schoolwide school,44.987605,-93.294774,310,292,0.9419354838709677,18
BIG LAKE MIDDLE SCHOOL,BIG LAKE PUBLIC SCHOOL DISTRICT,2705460,2-Title I targeted assistance school,45.337396,-93.737584,747,140,0.18741633199464525,607
BIG LAKE SENIOR HIGH,BIG LAKE PUBLIC SCHOOL DISTRICT,2705460,2-Title I targeted assistance school,45.340211,-93.738534,905,129,0.1425414364640884,776
BIG WOODS ELEMENTARY,ST. MICHAEL-ALBERTVILLE SCHOOL DIST,2733790,2-Title I targeted assistance school,45.2237,-93.6176,650,76,0.11692307692307692,574
BIGFORK ELEMENTARY,GRAND RAPIDS PUBLIC SCHOOL DISTRICT,2713170,5-Title I schoolwide school,47.7454,-93.6509,163,25,0.15337423312883436,138
BIGFORK SECONDARY,GRAND RAPIDS PUBLIC SCHOOL DISTRICT,2713170,5-Title I schoolwide school,47.7456,-93.6502,134,21,0.15671641791044777,113
BIRCH GROVE SCHOOL FOR THE ARTS,OSSEO PUBLIC SCHOOL DISTRICT,2725200,5-Title I schoolwide school,45.099003,-93.340353,419,358,0.8544152744630071,61
BIRCH LAKE ELEMENTARY,WHITE BEAR LAKE SCHOOL DISTRICT,2742360,5-Title I schoolwide school,45.082,-93.0335,281,109,0.3879003558718861,172
BIRCHVIEW ELEMENTARY,WAYZATA PUBLIC SCHOOL DISTRICT,2742160,2-Title I targeted assistance school,44.9837,-93.4777,443,221,0.49887133182844245,222
BIRTH TO TWO ECSE,MOUNDS VIEW PUBLIC SCHOOL DISTRICT,2722950,5-Title I schoolwide school,45.06579,-93.194331,69,27,0.391304347826087,42
BISHOP ELEMENTARY,ROCHESTER PUBLIC SCHOOL DISTRICT,2731800,5-Title I schoolwide school,44.0291,-92.5184,423,131,0.30969267139479906,292
BLACK HAWK MIDDLE,ROSEMOUNT-APPLE VALLEY-EAGAN,2732390,5-Title I schoolwide school,44.8089,-93.1746,810,406,0.5012345679012346,404
BLACKDUCK ELEMENTARY,BLACKDUCK PUBLIC SCHOOL DISTRICT,2705730,2-Title I targeted assistance school,47.7318,-94.5457,384,79,0.20572916666666666,305
BLACKDUCK SECONDARY,BLACKDUCK PUBLIC SCHOOL DISTRICT,2705730,2-Title I targeted assistance school,47.7311,-94.5462,286,56,0.1958041958041958,230
BLAINE HIGH SCHOOL,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,2703180,5-Title I schoolwide school,45.1994,-93.2633,2984,997,0.33411528150134046,1987
BLOOMING PRAIRIE ELEMENTARY,BLOOMING PRAIRIE PUBLIC SCHOOL DIST,2705760,2-Title I targeted assistance school,43.8688,-93.0558,423,28,0.06619385342789598,395
BLOOMING PRAIRIE SECONDARY,BLOOMING PRAIRIE PUBLIC SCHOOL DIST,2705760,2-Title I targeted assistance school,43.8678,-93.0637,362,35,0.09668508287292818,327
BLOOMINGTON ECSE,BLOOMINGTON PUBLIC SCHOOL DISTRICT,2705790,5-Title I schoolwide school,44.8009,-93.3421,201,104,0.5174129353233831,97
BLUE EARTH AREA ELEMENTARY,BLUE EARTH AREA PUBLIC SCHOOL,2700130,5-Title I schoolwide school,43.6391,-94.0994,450,80,0.17777777777777778,370
BLUE EARTH AREA MIDDLE,BLUE EARTH AREA PUBLIC SCHOOL,2700130,5-Title I schoolwide school,43.639,-94.0985,171,27,0.15789473684210525,144
BLUE EARTH AREA SECONDARY,BLUE EARTH AREA PUBLIC SCHOOL,2700130,5-Title I schoolwide school,43.651058,-94.091117,424,68,0.16037735849056603,356
BLUE HERON ELEMENTARY,CENTENNIAL PUBLIC SCHOOL DISTRICT,2708100,2-Title I targeted assistance school,45.1719,-93.1239,807,186,0.23048327137546468,621
BLUESKY CHARTER SCHOOL,BLUESKY CHARTER SCHOOL,2700193,2-Title I targeted assistance school,44.8985,-93.0835,522,136,0.26053639846743293,386
BLUFF CREEK ELEMENTARY,EASTERN CARVER COUNTY PUBLIC SCHOOL,2708190,2-Title I targeted assistance school,44.8609,-93.5786,597,162,0.271356783919598,435
BLUFF VIEW ELEMENTARY,LAKE CITY PUBLIC SCHOOL DISTRICT,2717520,2-Title I targeted assistance school,44.436298,-92.272637,615,64,0.1040650406504065,551
BLUFFVIEW MONTESSORI,BLUFFVIEW MONTESSORI,2705850,2-Title I targeted assistance school,44.0482,-91.6718,212,30,0.14150943396226415,182
BOLD MIDDLE SCHOOL,BIRD ISLAND-OLIVIA-LAKE LILLIAN,2705660,5-Title I schoolwide school,44.769703,-94.988565,203,33,0.1625615763546798,170
BOLD SENIOR HIGH SCHOOL,BIRD ISLAND-OLIVIA-LAKE LILLIAN,2705660,5-Title I schoolwide school,44.769703,-94.988565,229,37,0.1615720524017467,192
BOLD-BIRD ISLAND ELEMENTARY,BIRD ISLAND-OLIVIA-LAKE LILLIAN,2705660,5-Title I schoolwide school,44.767,-94.8987,238,34,0.14285714285714285,204
BONNER ELEMENTARY,STEWARTVILLE PUBLIC SCHOOL DISTRICT,2738160,2-Title I targeted assistance school,43.849,-92.4792,496,51,0.1028225806451613,445
BRAHAM AREA SECONDARY,BRAHAM PUBLIC SCHOOL DISTRICT,2706060,5-Title I schoolwide school,45.7197,-93.1779,317,19,0.05993690851735016,298
BRAHAM ELEMENTARY,BRAHAM PUBLIC SCHOOL DISTRICT,2706060,5-Title I schoolwide school,45.7172,-93.1799,455,44,0.0967032967032967,411
BRAINERD EARLY CHILDHOOD SP. ED.,BRAINERD PUBLIC SCHOOL DISTRICT,2706090,5-Title I schoolwide school,46.3623,-94.1751,210,20,0.09523809523809523,190
BRAINERD SENIOR HIGH,BRAINERD PUBLIC SCHOOL DISTRICT,2706090,5-Title I schoolwide school,46.3519,-94.203,1932,149,0.07712215320910973,1783
BRANDON ELEMENTARY,BRANDON-EVANSVILLE PUBLIC SCHOOLS,2700382,2-Title I targeted assistance school,45.96729,-95.599708,180,6,0.03333333333333333,174
